# x y
# Function f(x) = 3x³ - x²
# Refering points: 
3.54999989 121.54998871
3.59749989 126.62833204
3.64499989 131.86461286
3.69249989 137.25883118
3.73999989 142.81098700
3.78749989 148.52108031
3.83499989 154.38911112
3.88249989 160.41507942
3.92999989 166.59898523
3.97749989 172.94082852
4.02499989 179.85623253
4.07249989 187.18310744
4.11999989 194.50998235
4.16749988 201.83685726
4.21499988 209.16373216
4.26249988 216.49060707
4.30999988 223.81748198
4.35749988 231.14435689
4.40499988 238.47123180
4.45249988 245.79810670
4.49999988 253.12498161
